measurement_data;state_data;mode_probabilities;state_errors
[1.3662045e+04, 1.6530000e+02, 1.0000000e+00, 1.3662045e+04, 1.6530000e+02, 1.0000000e+00];[1.37260559e+04, 1.52952956e+02, -1.64423419e+00, 1.36986537e+04, 1.45585263e+02, 4.62635210e+00];[0.5000164, 0.4999836];[64.01090983, 12.34704407, 2.64423419, 36.6086762, 19.71473708, 3.6263521]
[1.371168e+04, 1.656000e+02, 1.000000e+00, 1.371168e+04, 1.656000e+02, 1.000000e+00];[1.37593324e+04, 1.52044596e+02, -3.37382964e-02, 1.37341448e+04, 1.45410640e+02, 5.53934324e+00];[0.50001476, 0.49998524];[47.65238743, 13.55540361, 1.0337383, 22.46483774, 20.18935992, 4.53934324]
[1.3728245e+04, 1.6570000e+02, 1.0000000e+00, 1.3728245e+04, 1.6570000e+02, 1.0000000e+00];[1.37899144e+04, 1.50760071e+02, -6.94100856e-03, 1.37650381e+04, 1.42012060e+02, 6.10343389e+00];[0.50001328, 0.49998672];[61.66943744, 14.93992873, 1.00694101, 36.79314268, 23.68793972, 5.10343389]
[1.374482e+04, 1.658000e+02, 1.000000e+00, 1.374482e+04, 1.658000e+02, 1.000000e+00];[1.38181684e+04, 1.49490813e+02, -2.12628912e-01, 1.37920007e+04, 1.37571356e+02, 6.67653014e+00];[0.50001195, 0.49998805];[73.34841005, 16.30918657, 1.21262891, 47.18066126, 28.22864446, 5.67653014]
[1.3761405e+04, 1.6590000e+02, 1.0000000e+00, 1.3761405e+04, 1.6590000e+02, 1.0000000e+00];[1.38443590e+04, 1.47249151e+02, 7.09136169e-02, 1.38165677e+04, 1.33955386e+02, 7.99719591e+00];[0.50001076, 0.49998924];[82.95397745, 18.65084899, 0.92908638, 55.16269426, 31.94461415, 6.99719591]
[1.3778e+04, 1.6600e+02, 1.0000e+00, 1.3778e+04, 1.6600e+02, 1.0000e+00];[1.38683827e+04, 1.43305812e+02, 1.34933962e+00, 1.38401345e+04, 1.31614835e+02, 9.84766255e+00];[0.50000968, 0.49999032];[90.38272122, 22.69418837, 0.34933962, 62.13448525, 34.38516477, 8.84766255]
[1.3794605e+04, 1.6610000e+02, 1.0000000e+00, 1.3794605e+04, 1.6610000e+02, 1.0000000e+00];[1.38901833e+04, 1.38474245e+02, 3.86904444e+00, 1.38630103e+04, 1.29990060e+02, 1.16961048e+01];[0.50000871, 0.49999129];[95.57828535, 27.62575522, 2.86904444, 68.40526407, 36.10993964, 10.69610482]
[1.381122e+04, 1.662000e+02, 1.000000e+00, 1.381122e+04, 1.662000e+02, 1.000000e+00];[1.39100569e+04, 1.33884654e+02, 7.30039138e+00, 1.38850331e+04, 1.28542306e+02, 1.31575646e+01];[0.50000784, 0.49999216];[98.83691565, 32.31534597, 6.30039138, 73.81313581, 37.65769397, 12.15756457]
[1.3827845e+04, 1.6630000e+02, 1.0000000e+00, 1.3827845e+04, 1.6630000e+02, 1.0000000e+00];[1.39286641e+04, 1.30396748e+02, 1.06164095e+01, 1.39058007e+04, 1.26837989e+02, 1.39334837e+01];[0.50000706, 0.49999294];[100.81910298, 35.90325202, 9.61640951, 77.9556832, 39.46201096, 12.93348371]
[1.3861125e+04, 1.6650000e+02, 1.0000000e+00, 1.3861125e+04, 1.6650000e+02, 1.0000000e+00];[1.39495652e+04, 1.29320762e+02, 1.38812714e+01, 1.39292790e+04, 1.27406578e+02, 1.50314791e+01];[0.50000635, 0.49999365];[88.44020537, 37.17923848, 12.88127136, 68.15399364, 39.09342175, 14.03147914]
[1.387778e+04, 1.666000e+02, 1.000000e+00, 1.387778e+04, 1.666000e+02, 1.000000e+00];[1.39700864e+04, 1.28039698e+02, 1.39471372e+01, 1.39506391e+04, 1.26429958e+02, 1.44060680e+01];[0.50000572, 0.49999428];[92.30635163, 38.56030187, 12.94713723, 72.85912985, 40.17004209, 13.40606796]
[1.3894445e+04, 1.6670000e+02, 1.0000000e+00, 1.3894445e+04, 1.6670000e+02, 1.0000000e+00];[1.39906049e+04, 1.25357702e+02, 1.16110489e+01, 1.39674188e+04, 1.22577180e+02, 1.27031488e+01];[0.50000515, 0.49999485];[96.15990903, 41.34229813, 10.6110489, 72.97381908, 44.12281959, 11.70314881]
