measurement_data;state_data;mode_probabilities;state_errors
[21.125, 6.5, 1., 21.125, 6.5, 1.];[21.12499312, 6.49998278, 0.9998506, 21.12499312, 6.49998278, 0.9998506];[9.99851143e-01, 1.48856637e-04];[6.87524953e-06, 1.72206521e-05, 1.49402939e-04, 6.87524953e-06, 1.72206521e-05, 1.49402939e-04]
[21.78, 6.6, 1., 21.78, 6.6, 1.];[21.77999351, 6.59998258, 0.99985061, 21.77999351, 6.59998258, 0.99985061];[9.99851143e-01, 1.48856580e-04];[6.48705091e-06, 1.74180047e-05, 1.49392151e-04, 6.48705091e-06, 1.74180047e-05, 1.49392151e-04]
[22.445, 6.7, 1., 22.445, 6.7, 1.];[22.44499386, 6.6999824, 0.99985062, 22.44499386, 6.6999824, 0.99985062];[9.99851143e-01, 1.48856535e-04];[6.13984810e-06, 1.76039349e-05, 1.49381946e-04, 6.13984810e-06, 1.76039349e-05, 1.49381946e-04]
[23.12, 6.8, 1., 23.12, 6.8, 1.];[23.11999417, 6.79998222, 0.99985063, 23.11999417, 6.79998222, 0.99985063];[9.99851143e-01, 1.48856501e-04];[5.82965493e-06, 1.77780864e-05, 1.49372355e-04, 5.82965493e-06, 1.77780864e-05, 1.49372355e-04]
[23.805, 6.9, 1., 23.805, 6.9, 1.];[23.80499445, 6.89998206, 0.99985064, 23.80499445, 6.89998206, 0.99985064];[9.99851144e-01, 1.48856472e-04];[5.55281940e-06, 1.79403807e-05, 1.49363387e-04, 5.55281940e-06, 1.79403807e-05, 1.49363387e-04]
[24.5, 7., 1., 24.5, 7., 1.];[24.49999469, 6.99998191, 0.99985064, 24.49999469, 6.99998191, 0.99985064];[9.99851144e-01, 1.48856451e-04];[5.30600472e-06, 1.80909532e-05, 1.49355046e-04, 5.30600472e-06, 1.80909532e-05, 1.49355046e-04]
[25.205, 7.1, 1., 25.205, 7.1, 1.];[25.20499491, 7.09998177, 0.99985065, 25.20499491, 7.09998177, 0.99985065];[9.99851144e-01, 1.48856435e-04];[5.08616958e-06, 1.82301000e-05, 1.49347318e-04, 5.08616958e-06, 1.82301000e-05, 1.49347318e-04]
[25.92, 7.2, 1., 25.92, 7.2, 1.];[25.91999511, 7.19998164, 0.99985066, 25.91999511, 7.19998164, 0.99985066];[9.99851144e-01, 1.48856422e-04];[4.89054833e-06, 1.83582348e-05, 1.49340186e-04, 4.89054833e-06, 1.83582348e-05, 1.49340186e-04]
[26.645, 7.3, 1., 26.645, 7.3, 1.];[26.64499528, 7.29998152, 0.99985067, 26.64499528, 7.29998152, 0.99985067];[9.99851144e-01, 1.48856412e-04];[4.71663117e-06, 1.84758548e-05, 1.49333626e-04, 4.71663117e-06, 1.84758548e-05, 1.49333626e-04]
[27.38, 7.4, 1., 27.38, 7.4, 1.];[27.37999544, 7.39998142, 0.99985067, 27.37999544, 7.39998142, 0.99985067];[9.99851144e-01, 1.48856405e-04];[4.56214502e-06, 1.85835124e-05, 1.49327610e-04, 4.56214502e-06, 1.85835124e-05, 1.49327610e-04]
