measurement_data;state_data;mode_probabilities;state_errors
[82.8, 1., 0., 82.8, 1., 0.];[83.35529911, 0.63291985, 0.13383689, 83.35529911, 0.63291985, 0.13383689];[1.10190919e-08, 9.99999989e-01];[0.55529911, 0.36708015, 0.13383689, 0.55529911, 0.36708015, 0.13383689]
[82.9, 1., 0., 82.9, 1., 0.];[83.48469217, 0.63188951, 0.12627993, 83.48469217, 0.63188951, 0.12627993];[1.09848516e-08, 9.99999989e-01];[0.58469217, 0.36811049, 0.12627993, 0.58469217, 0.36811049, 0.12627993]
[83.1, 1., 0., 83.1, 1., 0.];[83.62886965, 0.63913991, 0.12566575, 83.62886965, 0.63913991, 0.12566575];[1.10294216e-08, 9.99999989e-01];[0.52886965, 0.36086009, 0.12566575, 0.52886965, 0.36086009, 0.12566575]
[83.2, 1., 0., 83.2, 1., 0.];[83.76514411, 0.63846612, 0.12137073, 83.76514411, 0.63846612, 0.12137073];[1.09954002e-08, 9.99999989e-01];[0.56514411, 0.36153388, 0.12137073, 0.56514411, 0.36153388, 0.12137073]
[83.3, 1., 0., 83.3, 1., 0.];[83.89309022, 0.63202085, 0.11735167, 83.89309022, 0.63202085, 0.11735167];[1.09681398e-08, 9.99999989e-01];[0.59309022, 0.36797915, 0.11735167, 0.59309022, 0.36797915, 0.11735167]
[83.4, 1., 0., 83.4, 1., 0.];[84.01311824, 0.62237719, 0.11533397, 84.01311824, 0.62237719, 0.11533397];[1.09510351e-08, 9.99999989e-01];[0.61311824, 0.37762281, 0.11533397, 0.61311824, 0.37762281, 0.11533397]
[83.6, 1., 0., 83.6, 1., 0.];[84.14814599, 0.62556339, 0.12046497, 84.14814599, 0.62556339, 0.12046497];[1.10133513e-08, 9.99999989e-01];[0.54814599, 0.37443661, 0.12046497, 0.54814599, 0.37443661, 0.12046497]
[83.8, 1., 0., 83.8, 1., 0.];[84.29844341, 0.63805325, 0.12571671, 84.29844341, 0.63805325, 0.12571671];[1.10513320e-08, 9.99999989e-01];[0.49844341, 0.36194675, 0.12571671, 0.49844341, 0.36194675, 0.12571671]
[84., 1., 0., 84., 1., 0.];[84.46297594, 0.65557021, 0.1279737, 84.46297594, 0.65557021, 0.1279737];[1.10737613e-08, 9.99999989e-01];[0.46297594, 0.34442979, 0.1279737, 0.46297594, 0.34442979, 0.1279737]
[84.1, 1., 0., 84.1, 1., 0.];[84.6178431, 0.66056563, 0.12175661, 84.6178431, 0.66056563, 0.12175661];[1.10293574e-08, 9.99999989e-01];[0.5178431, 0.33943437, 0.12175661, 0.5178431, 0.33943437, 0.12175661]
[84.2, 1., 0., 84.2, 1., 0.];[84.76161391, 0.65546749, 0.11433268, 84.76161391, 0.65546749, 0.11433268];[1.09859520e-08, 9.99999989e-01];[0.56161391, 0.34453251, 0.11433268, 0.56161391, 0.34453251, 0.11433268]
[84.3, 1., 0., 84.3, 1., 0.];[84.89415724, 0.64392674, 0.10928359, 84.89415724, 0.64392674, 0.10928359];[1.09550569e-08, 9.99999989e-01];[0.59415724, 0.35607326, 0.10928359, 0.59415724, 0.35607326, 0.10928359]
[84.4, 1., 0., 84.4, 1., 0.];[85.01646341, 0.62953648, 0.10773341, 85.01646341, 0.62953648, 0.10773341];[1.09385697e-08, 9.99999989e-01];[0.61646341, 0.37046352, 0.10773341, 0.61646341, 0.37046352, 0.10773341]
[84.5, 1., 0., 84.5, 1., 0.];[85.13025369, 0.61514995, 0.10937344, 85.13025369, 0.61514995, 0.10937344];[1.09333379e-08, 9.99999989e-01];[0.63025369, 0.38485005, 0.10937344, 0.63025369, 0.38485005, 0.10937344]
[84.6, 1., 0., 84.6, 1., 0.];[85.23756132, 0.60263958, 0.11323238, 85.23756132, 0.60263958, 0.11323238];[1.09351561e-08, 9.99999989e-01];[0.63756132, 0.39736042, 0.11323238, 0.63756132, 0.39736042, 0.11323238]
[84.7, 1., 0., 84.7, 1., 0.];[85.34038574, 0.59294056, 0.11819343, 85.34038574, 0.59294056, 0.11819343];[1.09405772e-08, 9.99999989e-01];[0.64038574, 0.40705944, 0.11819343, 0.64038574, 0.40705944, 0.11819343]
[84.8, 1., 0., 84.8, 1., 0.];[85.44046066, 0.58624558, 0.12329318, 85.44046066, 0.58624558, 0.12329318];[1.09472504e-08, 9.99999989e-01];[0.64046066, 0.41375442, 0.12329318, 0.64046066, 0.41375442, 0.12329318]
[85.1, 1., 0., 85.1, 1., 0.];[85.58287624, 0.6097332, 0.13751808, 85.58287624, 0.6097332, 0.13751808];[1.10745177e-08, 9.99999989e-01];[0.48287624, 0.3902668, 0.13751808, 0.48287624, 0.3902668, 0.13751808]
[85.4, 1., 0., 85.4, 1., 0.];[85.76631527, 0.65244333, 0.14732582, 85.76631527, 0.65244333, 0.14732582];[1.11347510e-08, 9.99999989e-01];[0.36631527, 0.34755667, 0.14732582, 0.36631527, 0.34755667, 0.14732582]
[85.6, 1., 0., 85.6, 1., 0.];[85.96444989, 0.68946849, 0.14301079, 85.96444989, 0.68946849, 0.14301079];[1.11422049e-08, 9.99999989e-01];[0.36444989, 0.31053151, 0.14301079, 0.36444989, 0.31053151, 0.14301079]
[85.8, 1., 0., 85.8, 1., 0.];[86.17190946, 0.71702391, 0.13140115, 86.17190946, 0.71702391, 0.13140115];[1.11294448e-08, 9.99999989e-01];[0.37190946, 0.28297609, 0.13140115, 0.37190946, 0.28297609, 0.13140115]
[85.9, 1., 0., 85.9, 1., 0.];[86.36205695, 0.72072371, 0.1127406, 86.36205695, 0.72072371, 0.1127406];[1.10515719e-08, 9.99999989e-01];[0.46205695, 0.27927629, 0.1127406, 0.46205695, 0.27927629, 0.1127406]
[86.2, 1., 0., 86.2, 1., 0.];[86.57614881, 0.73452865, 0.10654667, 86.57614881, 0.73452865, 0.10654667];[1.10951995e-08, 9.99999989e-01];[0.37614881, 0.26547135, 0.10654667, 0.37614881, 0.26547135, 0.10654667]
[86.4, 1., 0., 86.4, 1., 0.];[86.79023932, 0.74176023, 0.09890443, 86.79023932, 0.74176023, 0.09890443];[1.10793570e-08, 9.99999989e-01];[0.39023932, 0.25823977, 0.09890443, 0.39023932, 0.25823977, 0.09890443]
[86.5, 1., 0., 86.5, 1., 0.];[86.98075803, 0.72991624, 0.08725196, 86.98075803, 0.72991624, 0.08725196];[1.10068590e-08, 9.99999989e-01];[0.48075803, 0.27008376, 0.08725196, 0.48075803, 0.27008376, 0.08725196]
[86.7, 1., 0., 86.7, 1., 0.];[8.71698036e+01, 7.19613822e-01, 8.40652392e-02, 8.71698036e+01, 7.19613822e-01, 8.40652392e-02];[1.10181825e-08, 9.99999989e-01];[0.46980356, 0.28038618, 0.08406524, 0.46980356, 0.28038618, 0.08406524]
