measurement_data;state_data;mode_probabilities;state_errors
[0.91374239, -0.02946803, 0.00237852, 1.04616894, 0.13855128, 0.00280466];[1.25067409, -0.07246548, -0.00750012, 1.31808211, 0.12374894, -0.00527258];[7.27434459e-09, 9.99999993e-01];[0.3369317, 0.04299745, 0.00987864, 0.27191317, 0.01480234, 0.00807724]
[1.16913169e+00, 2.66901400e-02, -2.05400000e-04, 8.87774750e-01, 9.79081400e-02, 1.96099000e-03];[1.24159833, -0.06884879, 0.00192131, 1.29541761, 0.1014735, -0.00976648];[7.27334367e-09, 9.99999993e-01];[0.07246664, 0.09553893, 0.00212671, 0.40764286, 0.00356536, 0.01172747]
[1.12765503e+00, -4.29160200e-02, -6.85790000e-04, 1.54009660e+00, 8.24666800e-02, 1.31153000e-03];[1.22748729, -0.07182277, 0.00237147, 1.32288088, 0.11056603, -0.00621223];[7.27773952e-09, 9.99999993e-01];[0.09983226, 0.02890675, 0.00305726, 0.21721572, 0.02809935, 0.00752376]
[1.38507410e+00, 2.23371400e-02, 1.54979000e-03, 1.38826425e+00, 1.68935180e-01, -6.52910000e-04];[1.23665279e+00, -5.71643832e-02, 1.15231781e-02, 1.34040418e+00, 1.17099182e-01, 6.06305548e-04];[7.27678880e-09, 9.99999993e-01];[0.14842131, 0.07950152, 0.00997339, 0.04786007, 0.051836, 0.00125922]
[0.81528565, -0.06512407, -0.00415241, 1.14333854, 0.09017428, -0.00261139];[1.19862799, -0.07665044, 0.00282319, 1.334999, 0.10541341, -0.00444085];[7.27256201e-09, 9.99999993e-01];[0.38334234, 0.01152637, 0.0069756, 0.19166046, 0.01523913, 0.00182946]
[0.96994294, -0.03330248, 0.00147544, 0.96777759, 0.08429991, 0.00248711];[1.17565624, -0.08341355, 0.00393998, 1.31567809, 0.08652256, -0.00800707];[7.27391801e-09, 9.99999993e-01];[0.2057133, 0.05011107, 0.00246454, 0.3479005, 0.00222265, 0.01049418]
[9.6386683e-01, 6.0529800e-03, -8.3780000e-04, 1.6715701e+00, 1.5508059e-01, -2.3134100e-03];[1.15515236, -0.08607084, 0.00816906, 1.35372072, 0.10708129, 0.00250346];[7.27377057e-09, 9.99999993e-01];[0.19128553, 0.09212382, 0.00900686, 0.31784938, 0.0479993, 0.00481687]
[1.4409714e+00, -4.6945040e-02, 5.4430000e-04, 1.6186764e+00, 8.3927280e-02, -8.3452000e-04];[1.17070259, -0.06937201, 0.0122246, 1.38307134, 0.11707706, 0.00214608];[7.27478034e-09, 9.99999993e-01];[0.27026881, 0.02242697, 0.0116803, 0.23560506, 0.03314978, 0.0029806]
[1.36893377, 0.00367417, -0.00394938, 1.09418693, 0.09306861, 0.00202826];[1.18236388, -0.05438767, 0.01603862, 1.37072551, 0.10171564, -0.00276362];[7.27499587e-09, 9.99999993e-01];[0.18656989, 0.05806184, 0.019988, 0.27653858, 0.00864703, 0.00479188]
[0.89760166, -0.02921297, 0.00338004, 1.03115034, 0.1625266, -0.00563267];[1.15640574, -0.06459192, 0.01211484, 1.35636452, 0.0897301, -0.001768];[7.27501480e-09, 9.99999993e-01];[0.25880408, 0.03537895, 0.0087348, 0.32521418, 0.0727965, 0.00386467]
