measurement_data;state_data;mode_probabilities;state_errors
[6.78999542, 1.00110558, 0.00782038, 7.39009189, 1.03730798, 0.00811218];[7.25865922e+00, 1.03600492e+00, 3.25020506e-08, 7.37593183e+00, 1.07244477e+00, 2.98390449e-03];[7.27025571e-09, 9.99999993e-01];[0.4686638, 0.03489934, 0.00782035, 0.01416006, 0.03513679, 0.00512828]
[7.35457425e+00, 1.00321769e+00, 3.59810000e-04, 6.89577523e+00, 1.08926241e+00, 6.81856000e-03];[7.36038940e+00, 1.03326013e+00, -2.70016818e-03, 7.43866948e+00, 1.04723897e+00, -2.86552309e-04];[7.26984636e-09, 9.99999993e-01];[0.00581515, 0.03004244, 0.00305998, 0.54289425, 0.04202344, 0.00710511]
[7.74951302e+00, 1.04758074e+00, 6.45737000e-03, 7.04544594e+00, 1.08507220e+00, 7.58881000e-03];[7.48627561e+00, 1.04769910e+00, 3.56090098e-03, 7.50659469e+00, 1.02761275e+00, 9.11286438e-05];[7.27067920e-09, 9.99999993e-01];[2.63237406e-01, 1.18357730e-04, 2.89646902e-03, 4.61148748e-01, 5.74594464e-02, 7.49768136e-03]
[7.42426710e+00, 1.02225690e+00, 2.98739000e-03, 7.85864789e+00, 1.01886619e+00, 6.58350000e-04];[7.57722685e+00, 1.03847377e+00, -3.16541298e-04, 7.62818819e+00, 1.03844337e+00, 1.89065670e-03];[7.27646383e-09, 9.99999993e-01];[0.15295975, 0.01621687, 0.00330393, 0.2304597, 0.01957718, 0.00123231]
[7.92263820e+00, 1.08311349e+00, 9.00130000e-03, 7.82614207e+00, 1.03002697e+00, 5.15698000e-03];[7.70141838e+00, 1.05334490e+00, 8.05608855e-03, 7.73895118e+00, 1.04250280e+00, 2.90415100e-03];[7.27646849e-09, 9.99999993e-01];[0.22121982, 0.02976859, 0.00094521, 0.08719089, 0.01247583, 0.00225283]
[7.44787942e+00, 1.05110026e+00, 9.84449000e-03, 7.56501062e+00, 1.08109611e+00, 6.37365000e-03];[7.77907577e+00, 1.03756810e+00, 4.82766455e-03, 7.82332446e+00, 1.03305249e+00, 4.30092930e-03];[7.27371756e-09, 9.99999993e-01];[0.33119635, 0.01353216, 0.00501683, 0.25831384, 0.04804362, 0.00207272]
[7.92685985e+00, 1.03725669e+00, 7.56326000e-03, 7.83393595e+00, 1.05531405e+00, 4.21900000e-03];[7.88621676e+00, 1.04016797e+00, 5.87557917e-03, 7.92037299e+00, 1.03083237e+00, 5.20418510e-03];[7.27888378e-09, 9.99999993e-01];[0.04064309, 0.00291128, 0.00168768, 0.08643704, 0.02448168, 0.00098519]
[7.41850520e+00, 1.00786701e+00, 7.99996000e-03, 8.09542972e+00, 1.01744856e+00, 7.97432000e-03];[7.94501237e+00, 1.01223483e+00, -1.77460610e-03, 8.02847960e+00, 1.03378865e+00, 5.44102930e-03];[7.26898321e-09, 9.99999993e-01];[0.52650717, 0.00436782, 0.00977457, 0.06695012, 0.01634009, 0.00253329]
[7.61706232e+00, 1.04611927e+00, 1.45969000e-03, 7.54416693e+00, 1.07068252e+00, 8.70149000e-03];[8.01455961e+00, 9.95067542e-01, -2.23119940e-03, 8.08811388e+00, 1.01024105e+00, 3.66598574e-03];[7.26586452e-09, 9.99999993e-01];[0.39749729, 0.05105173, 0.00369089, 0.54394695, 0.06044147, 0.0050355]
[7.89835391e+00, 1.08776031e+00, 5.82586000e-03, 8.11890254e+00, 1.06526417e+00, 2.38310000e-03];[8.10111465e+00, 9.92253594e-01, 5.45275267e-03, 8.18588413e+00, 1.01133423e+00, 7.20054443e-03];[7.27835607e-09, 9.99999993e-01];[0.20276074, 0.09550672, 0.00037311, 0.06698159, 0.05392994, 0.00481744]
[8.57060025e+00, 1.03353414e+00, 9.92498000e-03, 7.75340713e+00, 1.08689303e+00, 5.81145000e-03];[8.23044230e+00, 1.01303417e+00, 1.35001531e-02, 8.24893132e+00, 9.93007513e-01, 7.95422936e-03];[7.26742803e-09, 9.99999993e-01];[0.34015795, 0.02049997, 0.00357517, 0.49552419, 0.09388552, 0.00214278]
[8.74087064e+00, 1.05789885e+00, 3.11781000e-03, 8.07172682e+00, 1.06425642e+00, 9.58571000e-03];[8.364945, 1.03574973, 0.01838381, 8.32975875, 0.9863987, 0.0115662];[7.27199336e-09, 9.99999993e-01];[0.37592564, 0.02214912, 0.015266, 0.25803193, 0.07785772, 0.00198049]
[8.00429526e+00, 1.00516414e+00, 2.78904000e-03, 8.85299857e+00, 1.04853239e+00, 8.30183000e-03];[8.43159763e+00, 1.01300942e+00, 7.30742629e-03, 8.46347891e+00, 1.01132584e+00, 1.98495100e-02];[7.26544180e-09, 9.99999993e-01];[0.42730237, 0.00784528, 0.00451839, 0.38951966, 0.03720655, 0.01154768]
[8.69082288e+00, 1.04178935e+00, 8.89469000e-03, 8.81466108e+00, 1.09701179e+00, 2.63305000e-03];[8.54617683, 1.023137, 0.01154332, 8.58715794, 1.02994343, 0.0248123];[7.27558802e-09, 9.99999993e-01];[0.14464605, 0.01865235, 0.00264863, 0.22750314, 0.06706836, 0.02217925]
[8.82460820e+00, 1.09782173e+00, 9.01812000e-03, 8.93419999e+00, 1.03164721e+00, 8.49317000e-03];[8.66495289, 1.03763213, 0.01868076, 8.70896391, 1.04261532, 0.0229419];[7.27616890e-09, 9.99999993e-01];[0.15965531, 0.0601896, 0.00966264, 0.22523608, 0.01096811, 0.01444873]
[8.37275318e+00, 1.06591192e+00, 3.15932000e-03, 8.36769878e+00, 1.08595113e+00, 4.02742000e-03];[8.73934229, 1.02238637, 0.01315242, 8.78062217, 1.02640298, 0.01729263];[7.27081718e-09, 9.99999993e-01];[0.36658911, 0.04352555, 0.0099931, 0.41292339, 0.05954815, 0.01326521]
