measurement_data;state_data;mode_probabilities;state_errors
[0.81964802, -0.05728675, -0.00819648, 0.57286746, 0.0819648, -0.00572867];[0.82775649, -0.05950709, -0.00702822, 0.55805831, 0.08641373, -0.0126098];[6.34997243e-09, 9.99999994e-01];[0.00810847, 0.00222034, 0.00116826, 0.01480915, 0.00444893, 0.00688113]
[0.81387846, -0.05810352, -0.00813878, 0.58103516, 0.08138785, -0.00581035];[0.82121767, -0.06038577, -0.0067385, 0.56765143, 0.085586, -0.01272609];[6.34997537e-09, 9.99999994e-01];[0.00733921, 0.00228225, 0.00140028, 0.01338373, 0.00419815, 0.00691574]
[0.80802751, -0.05891448, -0.00808028, 0.58914476, 0.08080275, -0.00589145];[0.81465865, -0.06118429, -0.00643713, 0.57705722, 0.08469974, -0.01280389];[6.34997805e-09, 9.99999994e-01];[0.00663114, 0.00226981, 0.00164315, 0.01208754, 0.00389699, 0.00691244]
[0.80209576, -0.05971954, -0.00802096, 0.59719544, 0.08020958, -0.00597195];[0.80807809, -0.06191871, -0.0061478, 0.58628344, 0.08377436, -0.01282977];[6.34998050e-09, 9.99999994e-01];[0.00598233, 0.00219917, 0.00187316, 0.010912, 0.00356478, 0.00685782]
[0.7960838, -0.06051864, -0.00796084, 0.60518641, 0.07960838, -0.00605186];[0.80147413, -0.06260363, -0.00588698, 0.59533796, 0.08282625, -0.01279757];[6.34998266e-09, 9.99999994e-01];[0.00539033, 0.00208499, 0.00207386, 0.00984845, 0.00321787, 0.00674571]
[0.78382167, -0.0620986, -0.00783822, 0.62098599, 0.07838217, -0.00620986];[0.79429281, -0.06377693, -0.00603913, 0.6048526, 0.08226931, -0.01268397];[6.34996918e-09, 9.99999994e-01];[0.01047114, 0.00167833, 0.00179909, 0.01613339, 0.00388714, 0.00647411]
[0.77124601, -0.06365372, -0.00771246, 0.63653718, 0.0771246, -0.00636537];[0.78653678, -0.06535842, -0.00640705, 0.61478363, 0.08199082, -0.01263647];[6.34995127e-09, 9.99999994e-01];[0.01529077, 0.0017047, 0.00130541, 0.02175355, 0.00486622, 0.0062711]
[0.76484219, -0.06442177, -0.00764842, 0.64421769, 0.07648422, -0.00644218];[0.77878842, -0.06672887, -0.00646307, 0.62448431, 0.08151144, -0.01276036];[6.34995714e-09, 9.99999994e-01];[0.01394623, 0.0023071, 0.00118535, 0.01973338, 0.00502722, 0.00631818]
[0.75836188, -0.06518338, -0.00758362, 0.65183377, 0.07583619, -0.00651834];[0.77104982, -0.06790983, -0.00630148, 0.63395955, 0.08086423, -0.01297694];[6.34996209e-09, 9.99999994e-01];[0.01268794, 0.00272645, 0.00128214, 0.01787422, 0.00502804, 0.0064586]
[0.75180573, -0.06593847, -0.00751806, 0.65938467, 0.07518057, -0.00659385];[0.76332212, -0.06892501, -0.00600007, 0.64321517, 0.08008125, -0.01322593];[6.34996615e-09, 9.99999994e-01];[0.01151639, 0.00298654, 0.00151799, 0.0161695, 0.00490068, 0.00663208]
