measurement_data;state_data;mode_probabilities;state_errors
[0.75180573, -0.06593847, 0.65938467, 0.07518057, -0.00751806, -0.00659385];[0.75551281, -0.06048567, 0.66127643, 0.07964839, -0.00960277, -0.00535719];[0.75597723, 0.12201139, 0.12201139];[0.00370708, 0.0054528, 0.00189176, 0.00446782, 0.00208471, 0.00123666]
[0.7451744, -0.06668696, 0.66686964, 0.07451744, -0.00745174, -0.0066687];[0.74885606, -0.06129358, 0.66879143, 0.07903865, -0.00958203, -0.00544208];[0.7550737, 0.12246315, 0.12246315];[0.00368166, 0.00539338, 0.00192179, 0.00452121, 0.00213029, 0.00122662]
[0.73846856, -0.06742879, 0.67428791, 0.07384686, -0.00738469, -0.00674288];[0.74212416, -0.0620953, 0.67623942, 0.07842084, -0.00956097, -0.0055268];[0.7541591, 0.12292045, 0.12292045];[0.0036556, 0.00533349, 0.00195151, 0.00457398, 0.00217628, 0.00121608]
[0.73168887, -0.06816388, 0.68163876, 0.07316889, -0.00731689, -0.00681639];[0.7353178, -0.06289075, 0.68361966, 0.07779501, -0.0095396, -0.00561135];[0.7532337, 0.12338315, 0.12338315];[0.00362893, 0.00527313, 0.0019809, 0.00462612, 0.00222271, 0.00120504]
[0.72483601, -0.06889214, 0.68892145, 0.0724836, -0.00724836, -0.00688921];[0.7284377, -0.06367987, 0.69093141, 0.07716122, -0.00951792, -0.00569569];[0.75229772, 0.12385114, 0.12385114];[0.00360169, 0.00521227, 0.00200996, 0.00467762, 0.00226956, 0.00119352]
[0.71791067, -0.06961352, 0.69613524, 0.07179107, -0.00717911, -0.00696135];[0.72148456, -0.0644626, 0.69817394, 0.07651955, -0.00949592, -0.00577979];[0.75135144, 0.12432428, 0.12432428];[0.00357389, 0.00515092, 0.0020387, 0.00472848, 0.00231681, 0.00118156]
[0.71091354, -0.07032794, 0.70327942, 0.07109135, -0.00710914, -0.00703279];[0.7144591, -0.06523887, 0.70534653, 0.07587006, -0.0094736, -0.00586365];[0.75039509, 0.12480246, 0.12480246];[0.00354556, 0.00508907, 0.00206711, 0.00477871, 0.00236446, 0.00116914]
[0.70384532, -0.07103533, 0.71035327, 0.07038453, -0.00703845, -0.00710353];[0.70736203, -0.06600861, 0.71244847, 0.07521281, -0.00945097, -0.00594723];[0.74942894, 0.12528553, 0.12528553];[0.00351671, 0.00502672, 0.0020952, 0.00482828, 0.00241252, 0.0011563]
[0.69670671, -0.07173561, 0.71735609, 0.06967067, -0.00696707, -0.00717356];[0.70019408, -0.06677177, 0.71947903, 0.07454787, -0.00942803, -0.00603052];[0.74845327, 0.12577337, 0.12577337];[0.00348737, 0.00496384, 0.00212294, 0.0048772, 0.00246096, 0.00114304]
[0.68949843, -0.07242872, 0.72428717, 0.06894984, -0.00689498, -0.00724287];[0.69295598, -0.06752827, 0.72643753, 0.07387531, -0.00940477, -0.00611349];[0.74746834, 0.12626583, 0.12626583];[0.00345755, 0.00490045, 0.00215036, 0.00492547, 0.00250979, 0.00112938]
